date,Current_Demand,Avg_Fee,price_delta_pct,price_level,Temperature,Precipitation,population,month,year,Prev_Demand,effective_fee,population_norm,month_sin,month_cos
2018-01-01,78182650,633153.0,0.0,100.0,-3.97741935483871,8.5,9851767.0,1,2018,78182650.0,0.9307379673858027,1.0,0.49999999999999994,0.8660254037844387
2018-02-01,78182650,633153.0,0.0,100.0,-1.6464285714285711,29.6,9845336.0,2,2018,78182650.0,0.9307379673858027,0.9993472237010883,0.8660254037844386,0.5000000000000001
2018-03-01,89351600,633153.0,0.0,100.0,8.080645161290322,49.5,9838892.0,3,2018,78182650.0,0.9307379673858027,0.9986931278419394,1.0,6.123233995736766e-17
2018-04-01,89351600,633153.0,0.0,100.0,12.986666666666668,130.3,9830452.0,4,2018,89351600.0,0.9307379673858027,0.9978364287340535,0.8660254037844388,-0.4999999999999998
2018-05-01,100520550,633153.0,0.0,100.0,18.16774193548387,222.0,9820971.0,5,2018,89351600.0,0.9307379673858027,0.9968740633025527,0.49999999999999994,-0.8660254037844387
2018-06-01,100520550,633153.0,0.0,100.0,23.136666666666667,171.5,9814049.0,6,2018,100520550.0,0.9307379673858027,0.9961714482285259,1.2246467991473532e-16,-1.0
2018-07-01,111689500,655313.355,3.5,103.5,27.796774193548387,185.6,9806538.0,7,2018,100520550.0,0.9633137962443058,0.9954090469252876,-0.4999999999999998,-0.8660254037844388
2018-08-01,111689500,655313.355,0.0,103.5,28.761290322580646,202.6,9799075.0,8,2018,111689500.0,0.9633137962443058,0.9946515178444638,-0.8660254037844384,-0.5000000000000004
2018-09-01,100520550,655313.355,0.0,103.5,21.496666666666666,68.5,9793003.0,9,2018,111689500.0,0.9633137962443058,0.9940351817090274,-1.0,-1.8369701987210297e-16
2018-10-01,89351600,655313.355,0.0,103.5,13.05483870967742,120.5,9774088.0,10,2018,100520550.0,0.9633137962443058,0.9921152215638068,-0.8660254037844386,0.5
2018-11-01,89351600,655313.355,0.0,103.5,7.793333333333334,79.1,9774088.0,11,2018,89351600.0,0.9633137962443058,0.9921152215638068,-0.5000000000000004,0.8660254037844384
2018-12-01,78182650,655313.355,0.0,103.5,-0.6064516129032258,16.4,9765623.0,12,2018,89351600.0,0.9633137962443058,0.9912559848400799,-2.4492935982947064e-16,1.0
2019-01-01,77991340,630246.0,0.0,103.5,-0.8967741935483872,0.0,9766288.0,1,2019,78182650.0,0.9264646633484049,0.9913234854214478,0.49999999999999994,0.8660254037844387
2019-02-01,77991340,630246.0,0.0,103.5,0.9857142857142857,23.8,9770638.0,2,2019,77991340.0,0.9264646633484049,0.9917650305777633,0.8660254037844386,0.5000000000000001
2019-03-01,89132960,630246.0,0.0,103.5,7.093548387096774,26.8,9770216.0,3,2019,77991340.0,0.9264646633484049,0.9917221956223691,1.0,6.123233995736766e-17
2019-04-01,89132960,630246.0,0.0,103.5,12.120000000000001,47.3,9766886.0,4,2019,89132960.0,0.9264646633484049,0.9913841851923619,0.8660254037844388,-0.4999999999999998
2019-05-01,100274580,630246.0,0.0,103.5,19.419354838709676,37.8,9762062.0,5,2019,89132960.0,0.9264646633484049,0.9908945268397029,0.49999999999999994,-0.8660254037844387
2019-06-01,100274580,630246.0,0.0,103.5,22.503333333333334,74.0,9757144.0,6,2019,100274580.0,0.9264646633484049,0.9903953270514823,1.2246467991473532e-16,-1.0
2019-07-01,111416200,630246.0,0.0,103.5,25.87741935483871,194.4,9751415.0,7,2019,100274580.0,0.9264646633484049,0.9898138070053829,-0.4999999999999998,-0.8660254037844388
2019-08-01,111416200,630246.0,0.0,103.5,27.190322580645162,190.5,9744888.0,8,2019,111416200.0,0.9264646633484049,0.9891512862616422,-0.8660254037844384,-0.5000000000000004
2019-09-01,100274580,630246.0,0.0,103.5,22.64333333333333,139.8,9740398.0,9,2019,111416200.0,0.9264646633484049,0.9886955304566176,-1.0,-1.8369701987210297e-16
2019-10-01,89132960,630246.0,0.0,103.5,16.370967741935484,55.5,9732577.0,10,2019,100274580.0,0.9264646633484049,0.9879016627169522,-0.8660254037844386,0.5
2019-11-01,89132960,630246.0,0.0,103.5,7.58,78.8,9732577.0,11,2019,89132960.0,0.9264646633484049,0.9879016627169522,-0.5000000000000004,0.8660254037844384
2019-12-01,77991340,630246.0,0.0,103.5,1.4161290322580644,22.599999999999998,9729107.0,12,2019,89132960.0,0.9264646633484049,0.9875494416382361,-2.4492935982947064e-16,1.0
2020-01-01,76821570,596260.0,0.0,103.5,1.6258064516129032,60.49999999999999,9733509.0,1,2020,77991340.0,0.8765050792359173,0.9879962650355008,0.49999999999999994,0.8660254037844387
2020-02-01,76821570,596260.0,0.0,103.5,2.5344827586206895,53.1,9736962.0,2,2020,76821570.0,0.8765050792359173,0.988346760535445,0.8660254037844386,0.5000000000000001
2020-03-01,87796080,596260.0,0.0,103.5,7.735483870967743,16.3,9733655.0,3,2020,76821570.0,0.8765050792359173,0.9880110847120116,1.0,6.123233995736766e-17
2020-04-01,87796080,596260.0,0.0,103.5,11.123333333333333,16.900000000000002,9726787.0,4,2020,87796080.0,0.8765050792359173,0.9873139508882011,0.8660254037844388,-0.4999999999999998
2020-05-01,98770590,596260.0,0.0,103.5,18.006451612903227,112.4,9724496.0,5,2020,87796080.0,0.8765050792359173,0.9870814037725415,0.49999999999999994,-0.8660254037844387
2020-06-01,98770590,596260.0,0.0,103.5,23.886666666666667,139.60000000000002,9720846.0,6,2020,98770590.0,0.8765050792359173,0.9867109118597709,1.2246467991473532e-16,-1.0
2020-07-01,109745100,596260.0,0.0,103.5,24.14516129032258,270.4,9715429.0,7,2020,98770590.0,0.8765050792359173,0.986161061259366,-0.4999999999999998,-0.8660254037844388
2020-08-01,109745100,596260.0,0.0,103.5,26.519354838709678,675.7,9708247.0,8,2020,109745100.0,0.8765050792359173,0.9854320549805938,-0.8660254037844384,-0.5000000000000004
2020-09-01,98770590,596260.0,0.0,103.5,21.39333333333333,181.5,9699232.0,9,2020,109745100.0,0.8765050792359173,0.9845169907083673,-1.0,-1.8369701987210297e-16
2020-10-01,87796080,596260.0,0.0,103.5,14.290322580645162,0.0,9679771.0,10,2020,98770590.0,0.8765050792359173,0.9825416090331816,-0.8660254037844386,0.5
2020-11-01,87796080,596260.0,0.0,103.5,8.026666666666667,120.10000000000001,9679771.0,11,2020,87796080.0,0.8765050792359173,0.9825416090331816,-0.5000000000000004,0.8660254037844384
2020-12-01,76821570,596260.0,0.0,103.5,-0.3516129032258065,4.6,9668465.0,12,2020,87796080.0,0.8765050792359173,0.9813939976452956,-2.4492935982947064e-16,1.0
2021-01-01,75330780,561861.0,0.0,103.5,-2.370967741935484,18.9,9657969.0,1,2021,76821570.0,0.8259383831291244,0.9803286050106544,0.49999999999999994,0.8660254037844387
2021-02-01,75330780,561861.0,0.0,103.5,2.732142857142857,7.1,9648606.0,2,2021,75330780.0,0.8259383831291244,0.9793782171259227,0.8660254037844386,0.5000000000000001
2021-03-01,86092320,561861.0,0.0,103.5,9.016129032258064,110.9,9598484.0,3,2021,75330780.0,0.8259383831291244,0.9742906018788304,1.0,6.123233995736766e-17
2021-04-01,86092320,561861.0,0.0,103.5,14.196666666666665,124.10000000000001,9588711.0,4,2021,86092320.0,0.8259383831291244,0.9732985970943081,0.8660254037844388,-0.4999999999999998
2021-05-01,96853860,561861.0,0.0,103.5,17.067741935483873,183.10000000000002,9575355.0,5,2021,86092320.0,0.8259383831291244,0.9719429012074686,0.49999999999999994,-0.8660254037844387
2021-06-01,96853860,561861.0,0.0,103.5,22.816666666666666,104.6,9565990.0,6,2021,96853860.0,0.8259383831291244,0.9709923103134697,1.2246467991473532e-16,-1.0
2021-07-01,107615400,586582.884,4.4,108.054,28.11935483870968,168.3,9558153.0,7,2021,96853860.0,0.8622796719868058,0.9701968184996661,-0.4999999999999998,-0.8660254037844388
2021-08-01,107615400,586582.884,0.0,108.054,25.858064516129033,211.2,9550227.0,8,2021,107615400.0,0.8622796719868058,0.9693922927734689,-0.8660254037844384,-0.5000000000000004
2021-09-01,96853860,586582.884,0.0,108.054,22.596666666666668,131.0,9542256.0,9,2021,107615400.0,0.8622796719868058,0.9685831993387582,-1.0,-1.8369701987210297e-16
2021-10-01,86092320,586582.884,0.0,108.054,15.574193548387097,57.0,9520880.0,10,2021,96853860.0,0.8622796719868058,0.96641343629016,-0.8660254037844386,0.5
2021-11-01,86092320,586582.884,0.0,108.054,8.18,62.4,9520880.0,11,2021,86092320.0,0.8622796719868058,0.96641343629016,-0.5000000000000004,0.8660254037844384
2021-12-01,75330780,586582.884,0.0,108.054,0.5838709677419355,7.8999999999999995,9509458.0,12,2021,86092320.0,0.8622796719868058,0.9652540503647721,-2.4492935982947064e-16,1.0
2022-01-01,74871440,674978.0,16.1,125.450694,-2.196774193548387,5.5,9505926.0,1,2022,75330780.0,0.9922209193514591,0.9648955359987705,0.49999999999999994,0.8660254037844387
2022-02-01,74871440,674978.0,0.0,125.450694,-1.125,4.7,9508451.0,2,2022,74871440.0,0.9922209193514591,0.965151835198701,0.8660254037844386,0.5000000000000001
2022-03-01,85567360,674978.0,0.0,125.450694,7.65483870967742,102.6,9506778.0,3,2022,74871440.0,0.9922209193514591,0.9649820179466283,1.0,6.123233995736766e-17
2022-04-01,85567360,674978.0,0.0,125.450694,14.753333333333332,20.4,9500480.0,4,2022,85567360.0,0.9922209193514591,0.9643427417639902,0.8660254037844388,-0.4999999999999998
2022-05-01,96263280,674978.0,0.0,125.450694,19.12258064516129,7.5,9496887.0,5,2022,85567360.0,0.9922209193514591,0.9639780356153368,0.49999999999999994,-0.8660254037844387
2022-06-01,96263280,674978.0,0.0,125.450694,23.303333333333335,393.8,9494807.0,6,2022,96263280.0,0.9922209193514591,0.9637669059773745,1.2246467991473532e-16,-1.0
2022-07-01,106959200,674978.0,0.0,125.450694,27.32903225806452,252.3,9493211.0,7,2022,96263280.0,0.9922209193514591,0.9636049045820917,-0.4999999999999998,-0.8660254037844388
2022-08-01,106959200,674978.0,0.0,125.450694,25.741935483870968,564.8,9488454.0,8,2022,106959200.0,0.9922209193514591,0.9631220470398864,-0.8660254037844384,-0.5000000000000004
2022-09-01,96263280,674978.0,0.0,125.450694,22.353333333333335,201.5,9450768.0,9,2022,106959200.0,0.9922209193514591,0.9592967434166886,-1.0,-1.8369701987210297e-16
2022-10-01,85567360,674978.0,0.0,125.450694,14.564516129032258,124.1,9436836.0,10,2022,96263280.0,0.9922209193514591,0.957882580860875,-0.8660254037844386,0.5
2022-11-01,85567360,674978.0,0.0,125.450694,10.03,84.5,9436836.0,11,2022,85567360.0,0.9922209193514591,0.957882580860875,-0.5000000000000004,0.8660254037844384
2022-12-01,74871440,674978.0,0.0,125.450694,-2.8161290322580643,13.6,9428372.0,12,2022,85567360.0,0.9922209193514591,0.9570234456417819,-2.4492935982947064e-16,1.0
2023-01-01,74672220,812394.0,14.2,143.2646925,-1.5225806451612904,47.9,9424873.0,1,2023,74871440.0,1.194223102909442,0.9566682809286903,0.49999999999999994,0.8660254037844387
2023-02-01,74672220,812394.0,0.0,143.2646925,2.3000000000000003,1.0,9427583.0,2,2023,74672220.0,1.194223102909442,0.9569433584858432,0.8660254037844386,0.5000000000000001
2023-03-01,85339680,812394.0,0.0,143.2646925,9.780645161290321,10.5,9426404.0,3,2023,74672220.0,1.194223102909442,0.9568236845227867,1.0,6.123233995736766e-17
2023-04-01,85339680,812394.0,0.0,143.2646925,13.8,96.89999999999999,9422710.0,4,2023,85339680.0,1.194223102909442,0.9564487264061361,0.8660254037844388,-0.4999999999999998
2023-05-01,96007140,812394.0,0.0,143.2646925,19.52258064516129,155.6,9418885.0,5,2023,85339680.0,1.194223102909442,0.9560604711824793,0.49999999999999994,-0.8660254037844387
2023-06-01,96007140,812394.0,0.0,143.2646925,23.383333333333333,195.6,9414093.0,6,2023,96007140.0,1.194223102909442,0.9555740609780966,1.2246467991473532e-16,-1.0
2023-07-01,106674600,812394.0,0.0,143.2646925,26.706451612903226,459.9,9411260.0,7,2023,96007140.0,1.194223102909442,0.9552864983510064,-0.4999999999999998,-0.8660254037844388
2023-08-01,106674600,812394.0,0.0,143.2646925,27.187096774193545,298.09999999999997,9409466.0,8,2023,106674600.0,1.194223102909442,0.9551043990382639,-0.8660254037844384,-0.5000000000000004
2023-09-01,96007140,812394.0,0.0,143.2646925,23.663333333333334,134.5,9407540.0,9,2023,106674600.0,1.194223102909442,0.9549089011138814,-1.0,-1.8369701987210297e-16
2023-10-01,85339680,812394.0,0.0,143.2646925,15.793548387096775,31.0,9390925.0,10,2023,96007140.0,1.194223102909442,0.953222401626023,-0.8660254037844386,0.5
2023-11-01,85339680,812394.0,0.0,143.2646925,6.796666666666667,81.89999999999999,9390925.0,11,2023,85339680.0,1.194223102909442,0.953222401626023,-0.5000000000000004,0.8660254037844384
2023-12-01,74672220,812394.0,0.0,143.2646925,1.1161290322580644,85.9,9386034.0,12,2023,85339680.0,1.194223102909442,0.9527259424629104,-2.4492935982947064e-16,1.0
2024-01-01,75271420,829556.0,0.0,143.2646925,-0.4870967741935483,18.9,9384325.0,1,2024,74672220.0,1.2194513257817572,0.952552471044027,0.49999999999999994,0.8660254037844387
2024-02-01,75271420,829556.0,0.0,143.2646925,3.820689655172414,74.7,9386705.0,2,2024,75271420.0,1.2194513257817572,0.95279405207208,0.8660254037844386,0.5000000000000001
2024-03-01,86024480,829556.0,0.0,143.2646925,6.970967741935484,29.9,9384739.0,3,2024,75271420.0,1.2194513257817572,0.9525944939623522,1.0,6.123233995736766e-17
2024-04-01,86024480,829556.0,0.0,143.2646925,16.343333333333334,33.2,9378269.0,4,2024,86024480.0,1.2194513257817572,0.9519377589827287,0.8660254037844388,-0.4999999999999998
2024-05-01,96777540,829556.0,0.0,143.2646925,18.493548387096773,125.1,9371930.0,5,2024,86024480.0,1.2194513257817572,0.9512943211101115,0.49999999999999994,-0.8660254037844387
2024-06-01,96777540,829556.0,0.0,143.2646925,24.59333333333333,115.9,9366283.0,6,2024,96777540.0,1.2194513257817572,0.9507211244439703,1.2246467991473532e-16,-1.0
2024-07-01,107530600,829556.0,0.0,143.2646925,26.596774193548388,557.3,9360400.0,7,2024,96777540.0,1.2194513257817572,0.950123972684291,-0.4999999999999998,-0.8660254037844388
2024-08-01,107530600,829556.0,0.0,143.2646925,29.33225806451613,72.80000000000001,9355801.0,8,2024,107530600.0,1.2194513257817572,0.9496571528742002,-0.8660254037844384,-0.5000000000000004
2024-09-01,96777540,829556.0,0.0,143.2646925,25.483333333333334,143.9,9350995.0,9,2024,107530600.0,1.2194513257817572,0.9491693216049466,-1.0,-1.8369701987210297e-16
2024-10-01,86024480,829556.0,0.0,143.2646925,16.654838709677417,74.0,9335495.0,10,2024,96777540.0,1.2194513257817572,0.9475959997835921,-0.8660254037844386,0.5
2024-11-01,86024480,829556.0,0.0,143.2646925,9.676666666666668,60.0,9335495.0,11,2024,86024480.0,1.2194513257817572,0.9475959997835921,-0.5000000000000004,0.8660254037844384
2024-12-01,75271420,829556.0,0.0,143.2646925,0.8483870967741935,5.7,9331828.0,12,2024,86024480.0,1.2194513257817572,0.9472237822920497,-2.4492935982947064e-16,1.0
